event,date,location,name_1,nationality_1,work_location_1,weight_1,height_1,dob_1,name_2,nationality_2,work_location_2,weight_2,height_2,dob_2,age_1,age_2,age_d,weight_class
Vasquez vs Omotoso,2015-06-21,"MGM Grand Garden Arena, Las Vegas",Sammy Vasquez,USA,Pennsylvania,147,178,1986-04-15,Wale Omotoso,Nigeria,California,147,179,1985-05-05,29,30,0,Welterweight
Barthelemy vs DeMarco,2015-06-21,"MGM Grand Garden Arena, Las Vegas",Rances Barthelemy,Cuba,Nevada,140,178,1986-06-25,Antonio DeMarco,Mexico,California,149,178,1986-01-07,28,29,0,Super lightweight
Spence vs Lo Greco,2015-06-20,"MGM Grand Garden Arena, Las Vegas",Errol Spence Jr,USA,Texas,147,177,1990-01-13,Phil Lo Greco,Canada,Ontario,154,173,1984-07-06,25,30,5,Welterweight
Broner vs Porter,2015-06-20,"MGM Grand Garden Arena, Las Vegas",Adrien Broner,USA,Ohio,140,168,1989-07-28,Shawn Porter,USA,Nevada,147,170,1987-10-27,25,27,1,Super lightweight
Khan vs Algieri,2015-05-29,"Barclays Center, Brooklyn, New York",Amir Khan,United Kingdom,Lancashire,147,174,1986-12-08,Chris Algieri,USA,New York,147,178,1984-03-02,28,31,2,Welterweight
Fortuna vs Vasquez,2015-05-29,"Barclays Center, Brooklyn, New York",Javier Fortuna,Dominican Republic,Massachusetts,130,169,1989-05-07,Bryan Vasquez,,,129,165,1987-08-26,26,27,1,Super featherweight
Dirrell vs DeGale,2015-05-23,"Agganis Arena, Boston",Andre Dirrell,USA,Florida,168,188,1983-09-07,James DeGale,United Kingdom,Hertfordshire,168,183,1986-02-03,31,29,-2,Super middleweight
Dirrell vs Jack,2015-04-24,"UIC Pavilion, Chicago",Anthony Dirrell,USA,Michigan,168,188,1984-10-14,Badou Jack,Sweden,Nevada,168,185,1983-10-31,30,31,0,Super middleweight
Garcia vs Peterson,2015-04-11,"Barclays Center, Brooklyn, New York",Danny Garcia,USA,Pennsylvania,147,173,1988-03-20,Lamont Peterson,USA,Maryland,147,175,1984-01-24,27,31,4,Welterweight
Berto vs Lopez,2015-03-13,"Citizens Business Bank Arena, Ontario, California",Andre Berto,USA,Florida,147,174,1983-09-07,Josesito Lopez,USA,California,147,177,1984-07-19,31,30,0,Welterweight
Porter vs Bone,2015-03-13,"Citizens Business Bank Arena, Ontario, California",Shawn Porter,USA,Nevada,147,170,1987-10-27,Erick Bone,Ecuador,,147,175,1988-12-23,27,26,-1,Welterweight
Thurman vs Guerrero,2015-03-07,"MGM Grand Garden Arena, Las Vegas, Nevada",Keith Thurman,USA,Florida,147,171,1988-11-23,Robert Guerrero,USA,Nevada,147,175,1983-03-27,26,31,5,Welterweight
Broner vs Molina Jr,2015-03-07,"MGM Grand Garden Arena, Las Vegas, Nevada",Adrien Broner,USA,Ohio,140,168,1989-07-28,John Molina Jr,USA,California,140,179,1982-12-28,25,32,6,Super lightweight
Mares vs Santos Reyes,2015-03-07,"MGM Grand Garden Arena, Las Vegas, Nevada",Abner Mares,Mexico,California,126,164,1985-11-28,Arturo Santos Reyes,,,126,163,1985-12-28,29,29,0,Featherweight
