event,date,location,name_1,nationality_1,work_location_1,weight_1,height_1,dob_1,name_2,nationality_2,work_location_2,weight_2,height_2,dob_2,age_1,age_2,age_d,weight_class
Easter vs Commey,2016-09-09,"Santander Arena, Reading, Pennsylvania",Robert Easter Jr,USA,Ohio,135,180,1991-01-26,Richard Commey,Ghana,,135,175,1987-03-10,25,29,3,Lightweight
Price vs Starks,2016-09-03,"Cowboys Dancehall, San Antonio",Darwin Price,USA,Texas,140,180,1989-08-15,Javontae Starks,USA,Minnesota,147,183,1989-03-18,27,27,0,Super lightweight
Guerrero vs Peralta,2016-08-27,"Honda Center, Anaheim, California",Robert Guerrero,USA,Nevada,147,175,1983-03-27,David Emanuel Peralta,Argentina,Cordoba,147,180,1982-08-31,33,33,0,Welterweight
Plant vs De Angel,2016-08-23,"Sands Bethlehem Event Center, Bethlehem, Pennsylvania",Caleb Plant,USA,Nevada,168,185,1992-07-08,Juan De Angel,Colombia,,154,178,1987-06-25,24,29,5,Super middleweight
Spence vs Bundu,2016-08-21,"Ford Amphitheater at Coney Island Boardwalk, Brooklyn, New York",Errol Spence Jr,USA,Texas,147,177,1990-01-13,Leonard Bundu,Italy,Toscana,147,169,1974-11-21,26,41,15,Welterweight
Flores vs Kielczweski,2016-08-12,"Turning Stone Resort Casino, Verona, New York",Miguel Flores,USA,Texas,126,173,1992-07-17,Ryan Kielczweski,USA,Massachusetts,126,173,1989-07-19,24,27,2,Featherweight
Benavidez vs Douglin,2016-08-05,"2300 Arena, Philadelphia",David Benavidez,USA,Arizona,168,187,1996-12-17,Denis Douglin,USA,Nevada,168,175,1988-05-06,19,28,8,Super middleweight
Garcia vs Rojas,2016-07-30,"Barclays Center, Brooklyn, New York",Mikey Garcia,USA,California,135,168,1987-12-15,Elio Rojas,Dominican Republic,,140,170,1982-09-25,28,33,5,Lightweight
Santa Cruz vs Frampton,2016-07-30,"Barclays Center, Brooklyn, New York",Leo Santa Cruz,Mexico,California,126,171,1988-08-10,Carl Frampton,United Kingdom,Northern Ireland,126,165,1987-02-21,27,29,1,Featherweight
Stevenson vs Williams,2016-07-29,"Centre Videotron, Quebec City",Adonis Stevenson,Canada,Quebec,175,180,1977-09-22,Thomas Williams Jr,USA,Maryland,175,185,1987-08-25,38,28,-9,Light heavyweight
Maidana vs Maysonet,2016-07-23,"Scottish Rite Auditorium, San Antonio",Fabian Andres Maidana,Argentina,Buenos Aires,147,175,1992-06-22,Jorge Maysonet,Puerto Rico,,147,178,1990-03-03,24,26,2,Welterweight
Derevyanchenko vs Soliman,2016-07-21,"Foxwoods Resort Casino, Mashantucket, Connecticut",Sergiy Derevyanchenko,Ukraine,New York,160,175,1985-10-31,Sam Soliman,Australia,Victoria,160,174,1973-11-13,30,42,11,Middleweight
Vasquez vs Diaz,2016-07-16,"Legacy Arena, Birmingham, Alabama",Sammy Vasquez,USA,Pennsylvania,147,178,1986-04-15,Felix Diaz,Dominican Republic,,140,166,1983-12-10,30,32,2,Welterweight
Wilder vs Arreola,2016-07-16,"Legacy Arena, Birmingham, Alabama",Deontay Wilder,USA,Alabama,226,201,1985-10-22,Chris Arreola,USA,California,246,191,1981-03-05,30,35,4,Heavyweight
Lipinets vs Castillo,2016-07-15,"Horseshoe Tunica Hotel & Casino, Tunica, Mississippi",Sergey Lipinets,Russia,California,140,170,1989-03-23,Walter Castillo,Nicaragua,Florida,140,178,1988-10-16,27,27,0,Super lightweight
Prescott vs Ghvamichava,2016-07-12,"Robinson Rancheria Resort & Casino, Nice, California",Breidis Prescott,Colombia,Florida,147,180,1983-05-03,Levan Ghvamichava,Georgia,California,140,175,1985-07-30,33,30,-2,Welterweight
Barrios vs Boschiero,2016-07-09,"Sun National Bank Center, Trenton, New Jersey",Mario Barrios,USA,Texas,140,178,1995-05-18,Devis Boschiero,Italy,Veneto,130,166,1981-07-29,21,34,13,Super lightweight
Herring vs Shafikov,2016-07-02,"Santander Arena, Reading, Pennsylvania",Jamel Herring,USA,Ohio,135,178,1985-10-30,Denis Shafikov,Russia,California,135,165,1985-06-03,30,31,0,Lightweight
Cherry vs Rhodes,2016-06-28,"Sands Bethlehem Event Center, Bethlehem, Pennsylvania",Edner Cherry,USA,Florida,130,173,1982-07-21,Haskell Rhodes,USA,Nevada,135,165,1987-10-09,33,28,-5,Super featherweight
Joshua vs Breazeale,2016-06-25,"O2 Arena, London",Anthony Joshua,United Kingdom,Hertfordshire,245,198,1989-10-15,Dominic Breazeale,USA,California,253,201,1985-08-24,26,30,4,Heavyweight
DeLoach vs Castillo,2016-06-25,"Scottish Rite Auditorium, San Antonio",Justin DeLoach,USA,Georgia,154,185,1994-02-12,Junior Castillo,Dominican Republic,,154,180,1986-05-10,22,30,7,Super welterweight
Thurman vs Porter,2016-06-25,"Barclays Center, Brooklyn, New York",Keith Thurman,USA,Florida,147,171,1988-11-23,Shawn Porter,USA,Nevada,147,170,1987-10-27,27,28,1,Welterweight
Payano vs Warren,2016-06-18,"UIC Pavilion, Chicago",Juan Carlos Payano,Dominican Republic,Florida,118,165,1984-04-12,Rau'shee Warren,USA,Ohio,118,169,1987-02-13,32,29,-2,Bantamweight
Fonfara vs Smith Jr,2016-06-18,"UIC Pavilion, Chicago",Andrzej Fonfara,Poland,Illinois,175,189,1987-11-04,Joe Smith Jr,USA,New York,175,183,1989-09-20,28,26,-1,Light heavyweight
Lo Greco vs Elegele,2016-06-12,"Lakeland Center, Lakeland, Florida",Phil Lo Greco,Canada,Ontario,154,173,1984-07-06,Joseph Elegele,USA,Florida,147,183,1984-06-25,31,31,0,Super welterweight
Provodnikov vs Molina Jr.,2016-06-11,"Turning Stone Resort Casino, Verona, New York",Ruslan Provodnikov,Russia,California,140,168,1984-01-20,John Molina Jr,USA,California,140,179,1982-12-28,32,33,1,Super lightweight
Beterbiev vs Maderna,2016-06-04,"Bell Centre, Montreal",Artur Beterbiev,Russia,Quebec,175,182,1985-01-21,Ezequiel Osvaldo Maderna,Argentina,Buenos Aires,175,188,1986-10-01,31,29,-1,Light heavyweight
Barthelemy vs Bey,2016-06-03,"Hard Rock Hotel & Casino, Hollywood, Florida",Rances Barthelemy,Cuba,Nevada,140,178,1986-06-25,Mickey Bey,USA,Ohio,135,175,1983-06-27,29,32,2,Super lightweight
Vazquez vs Bone,2016-05-28,"Cowboys Dancehall, San Antonio",Miguel Vazquez,Mexico,Jalisco,147,178,1987-01-06,Erick Bone,Ecuador,,147,175,1988-12-23,29,27,-1,Welterweight
Charlo vs Jackson,2016-05-21,"The Cosmopolitan, Las Vegas",Jermell Charlo,USA,Texas,154,180,1990-05-19,John Jackson,U.S. Virgin Islands,,154,183,1989-01-16,26,27,1,Super welterweight
Charlo vs Trout,2016-05-21,"The Cosmopolitan, Las Vegas",Jermall Charlo,USA,Texas,160,183,1990-05-19,Austin Trout,USA,New Mexico,154,177,1985-09-18,26,30,4,Middleweight
Lara vs Martirosyan,2016-05-21,"The Cosmopolitan, Las Vegas",Erislandy Lara,USA,Texas,154,175,1983-04-11,Vanes Martirosyan,USA,California,154,182,1986-05-01,33,30,-3,Super welterweight
Gassiev vs Shimmell,2016-05-17,"Black Bear Casino Resort, Carlton, Minnesota",Murat Gassiev,Russia,California,200,192,1993-10-12,Jordan Shimmell,USA,Michigan,200,191,1988-10-10,22,27,5,Cruiserweight
Islam vs De Angel,2016-05-08,"Lakeland Center, Lakeland, Florida",Kanat Islam,Kazakhstan,California,154,178,1984-09-13,Juan De Angel,Colombia,,154,178,1987-06-25,31,28,-2,Super welterweight
Rodriguez vs Williams,2016-04-30,"StubHub Center, Carson, California",Edwin Rodriguez,Dominican Republic,Texas,175,185,1985-05-05,Thomas Williams Jr,USA,Maryland,175,185,1987-08-25,30,28,-2,Light heavyweight
DeGale vs Medina,2016-04-30,"DC Armory, Washington, D.C.",James DeGale,United Kingdom,Hertfordshire,168,183,1986-02-03,Rogelio Medina,Mexico,Sonora,168,185,1988-09-16,30,27,-2,Super middleweight
Ortiz vs Berto,2016-04-30,"StubHub Center, Carson, California",Victor Ortiz,USA,California,147,175,1987-01-31,Andre Berto,USA,Florida,147,174,1983-09-07,29,32,3,Welterweight
Jack vs Bute,2016-04-30,"DC Armory, Washington, D.C.",Badou Jack,Sweden,Nevada,168,185,1983-10-31,Lucian Bute,Romania,Quebec,168,187,1980-02-28,32,36,3,Super middleweight
Dirrell vs Caparello,2016-04-29,"Taj Mahal Casino Resort, Atlantic City, New Jersey",Andre Dirrell,USA,Florida,168,188,1983-09-07,Blake Caparello,Australia,Victoria,168,185,1986-08-30,32,29,-2,Super middleweight
Dirrell vs Truax,2016-04-29,"Taj Mahal Casino Resort, Atlantic City, New Jersey",Anthony Dirrell,USA,Michigan,168,188,1984-10-14,Caleb Truax,USA,Minnesota,168,185,1983-09-14,31,32,1,Super middleweight
Aleem vs Cepeda,2016-04-19,"Sands Bethlehem Event Center, Bethlehem, Pennsylvania",Immanuwel Aleem,USA,Virginia,160,175,1993-10-18,Jonathan Cepeda,USA,New York,160,175,1984-06-20,22,31,9,Middleweight
